Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Bronx,BX12,9.000000000000000,2014.000000000000000,March,69.447540587261116,31.186014003758999,61.561798655189996,540.255805732205999
Manhattan,MN01,9.000000000000000,2014.000000000000000,March,80.779367159883193,41.893227264742201,57.245708490199696,589.095332686699066
Manhattan,MN02,9.000000000000000,2014.000000000000000,March,80.156215104007899,35.417650323392500,67.425462711064995,587.787812283268067
Manhattan,MN03,9.000000000000000,2014.000000000000000,March,63.981030141419595,40.470184485496098,33.829172783909705,504.221506029721070
Manhattan,MN04,9.000000000000000,2014.000000000000000,March,76.581504224454704,29.644811730082598,64.833118805473902,498.114239905488034
Manhattan,MN05,9.000000000000000,2014.000000000000000,March,74.067895916863606,27.161113901852200,52.925160637566002,449.088029369273045
Manhattan,MN06,9.000000000000000,2014.000000000000000,March,78.699253817929105,31.365632701613798,62.578865583868996,560.203049498937048
Manhattan,MN07,9.000000000000000,2014.000000000000000,March,79.911422786070403,35.280673685219199,62.712912883918996,585.171401803523054
Manhattan,MN08,9.000000000000000,2014.000000000000000,March,80.558897269919910,38.435101817813596,63.415165448368995,605.645633577669059
Manhattan,MN09,9.000000000000000,2014.000000000000000,March,67.472239432210600,50.500819874097203,38.145428420693996,574.453987822381009
Manhattan,MN10,9.000000000000000,2014.000000000000000,March,60.693056297002897,33.193863864606598,39.100884210694900,440.168704762085042
Manhattan,MN11,9.000000000000000,2014.000000000000000,March,57.324347085779500,37.397728797319701,24.061232312927100,390.194153742086030
Manhattan,MN12,9.000000000000000,2014.000000000000000,March,65.906468227546213,38.777322930087898,44.795235408330399,536.260719044955067
Queens East,QE07,9.000000000000000,2014.000000000000000,March,73.820502981911091,48.093509209709396,54.304802680243093,647.329003294185100
Queens East,QE08,9.000000000000000,2014.000000000000000,March,70.704030696899792,29.825511603872201,49.268267680935494,442.448744585818019
Queens East,QE10,9.000000000000000,2014.000000000000000,March,73.806290309447391,34.073371487661205,67.851773008778096,602.817306774817098
Queens East,QE11,9.000000000000000,2014.000000000000000,March,79.247823249600799,52.080904004816901,70.431074112874199,767.045191617698038
Queens East,QE12,9.000000000000000,2014.000000000000000,March,66.067038910175199,34.090908556351394,57.040998348349795,543.798624571583105
Queens East,QE13,9.000000000000000,2014.000000000000000,March,73.433776894226696,33.891290149857795,73.893143672751492,586.370305485592098
Queens East,QE14,9.000000000000000,2014.000000000000000,March,61.269680421439197,28.212145672617599,31.093814626211596,396.533835804481043
Queens West,QW01,9.000000000000000,2014.000000000000000,March,73.572899339299894,43.898632503706601,64.551875326418099,636.155349007539030
Queens West,QW02,9.000000000000000,2014.000000000000000,March,73.454288287214283,45.780809745200003,61.942423768315500,631.608160442291023
Queens West,QW03,9.000000000000000,2014.000000000000000,March,66.939211705679099,30.342408943410700,52.765538327134699,488.803479926039984
Queens West,QW04,9.000000000000000,2014.000000000000000,March,65.565477180128497,31.752910381597701,45.562554004517594,462.956622798482044
Queens West,QW05,9.000000000000000,2014.000000000000000,March,76.992705810073900,46.994425249061798,73.329117647579096,747.397407764758100
Queens West,QW06,9.000000000000000,2014.000000000000000,March,75.667876061805785,29.978306236662700,61.581826882674100,475.523137725277024
Queens West,QW09,9.000000000000000,2014.000000000000000,March,73.006438504670697,38.737253490231595,65.756307356857093,625.702383514533039
Staten Island,SI01,9.000000000000000,2014.000000000000000,March,73.506285672388699,36.012572220273398,65.250373085200991,587.085009837658049
Staten Island,SI02,9.000000000000000,2014.000000000000000,March,75.619756766315902,41.327789210227792,62.978318267629092,639.080106119913012
Staten Island,SI03,9.000000000000000,2014.000000000000000,March,77.187067640121199,45.443614943077698,69.101641635310102,696.329196421465099
